CN-2018-4162714,2018/10/13,广东,办公用-标签-10000026,办公用品,96.32,2,0,22.96
CN-2017-1108121,2017/4/30,江西,办公用-标签-10000039,办公用品,300.72,6,0,11.76
US-2015-2530333,2015/7/8,湖北,办公用-标签-10000039,办公用品,100.24,2,0,3.92
CN-2015-4141331,2015/6/6,广西,办公用-标签-10000039,办公用品,150.36,3,0,5.88
CN-2018-3557528,2018/7/31,广西,办公用-标签-10000039,办公用品,100.24,2,0,3.92
CN-2017-5673737,2017/11/25,陕西,办公用-标签-10000039,办公用品,200.48,4,0,7.84
CN-2018-3074981,2018/5/6,山西,办公用-标签-10000039,办公用品,250.6,5,0,9.8
CN-2015-3643443,2015/9/9,浙江,办公用-标签-10000039,办公用品,200.48,4,0,7.84
US-2015-1255631,2015/1/30,黑龙江,办公用-标签-10000058,办公用品,153.72,3,0,72.24
CN-2018-2051602,2018/6/30,上海,办公用-标签-10000058,办公用品,153.72,3,0,72.24
CN-2018-4836537,2018/8/5,湖南,办公用-标签-10000058,办公用品,153.72,3,0,72.24
CN-2016-1069751,2016/7/2,广东,办公用-标签-10000058,办公用品,358.68,7,0,168.56
CN-2017-2642546,2017/9/6,重庆,办公用-标签-10000058,办公用品,204.96,4,0,96.32
CN-2015-4217149,2015/4/7,浙江,办公用-标签-10000058,办公用品,358.68,7,0,168.56
CN-2016-2766233,2016/5/4,海南,办公用-标签-10000069,办公用品,112.98,3,0,47.04
CN-2017-3867173,2017/8/6,内蒙古,办公用-标签-10000069,办公用品,37.66,1,0,15.68
CN-2016-5468349,2016/11/7,重庆,办公用-标签-10000069,办公用品,150.64,4,0,62.72
CN-2018-2444005,2018/10/9,内蒙古,办公用-标签-10000069,办公用品,75.32,2,0,31.36
CN-2016-4526574,2016/12/12,上海,办公用-标签-10000078,办公用品,90.44,2,0,37.8
CN-2015-3382200,2015/5/17,湖南,办公用-标签-10000078,办公用品,226.1,5,0,94.5
CN-2017-1608087,2017/5/24,浙江,办公用-标签-10000078,办公用品,135.66,3,0,56.7
CN-2018-4178476,2018/1/11,江西,办公用-标签-10000258,办公用品,199.5,5,0,49.7
CN-2017-5940390,2017/6/25,河北,办公用-标签-10000258,办公用品,119.7,3,0,29.82
CN-2017-4171126,2017/2/12,上海,办公用-标签-10000258,办公用品,119.7,3,0,29.82
CN-2017-4853457,2017/9/5,吉林,办公用-标签-10000258,办公用品,119.7,3,0,29.82
CN-2016-2662386,2016/12/10,广东,办公用-标签-10000344,办公用品,182,4,0,14.56
CN-2015-5940390,2015/5/20,辽宁,办公用-标签-10000344,办公用品,91,2,0,7.28
CN-2018-1726701,2018/3/9,广西,办公用-标签-10000344,办公用品,227.5,5,0,18.2
CN-2018-1751343,2018/7/18,重庆,办公用-标签-10000344,办公用品,45.5,1,0,3.64
US-2016-2470286,2016/1/21,湖南,办公用-标签-10000344,办公用品,91,2,0,7.28
CN-2015-5477816,2015/5/25,福建,办公用-标签-10000344,办公用品,136.5,3,0,10.92
CN-2016-2776676,2016/5/28,海南,办公用-标签-10000355,办公用品,431.2,7,0,158.76
CN-2016-3216455,2016/5/10,湖南,办公用-标签-10000355,办公用品,492.8,8,0,181.44
CN-2018-5631342,2018/6/23,北京,办公用-标签-10000355,办公用品,123.2,2,0,45.36
CN-2016-2548759,2016/8/11,辽宁,办公用-标签-10000355,办公用品,61.6,1,0,22.68
CN-2016-1777670,2016/8/8,河南,办公用-标签-10000355,办公用品,246.4,4,0,90.72
CN-2016-4985754,2016/4/26,吉林,办公用-标签-10000355,办公用品,123.2,2,0,45.36
CN-2016-3297567,2016/9/14,湖南,办公用-标签-10000389,办公用品,362.6,7,0,21.56
CN-2017-5569894,2017/4/30,北京,办公用-标签-10000389,办公用品,103.6,2,0,6.16
CN-2018-4318875,2018/6/16,黑龙江,办公用-标签-10000389,办公用品,155.4,3,0,9.24
US-2018-1184235,2018/10/9,河北,办公用-标签-10000389,办公用品,207.2,4,0,12.32
CN-2016-1599696,2016/5/28,天津,办公用-标签-10000389,办公用品,103.6,2,0,6.16
CN-2017-1587245,2017/5/21,广东,办公用-标签-10000389,办公用品,155.4,3,0,9.24
US-2017-2055991,2017/1/9,山东,办公用-标签-10000389,办公用品,103.6,2,0,6.16
CN-2015-2681471,2015/9/14,山东,办公用-标签-10000389,办公用品,310.8,6,0,18.48
CN-2016-4480622,2016/7/30,上海,办公用-标签-10000389,办公用品,103.6,2,0,6.16
CN-2016-2274874,2016/9/21,山东,办公用-标签-10000477,办公用品,387.1,7,0,127.4
CN-2018-1340062,2018/6/25,重庆,办公用-标签-10000477,办公用品,608.3,11,0,200.2
CN-2018-4497736,2018/8/22,湖北,办公用-标签-10000480,办公用品,51.1,1,0,21.42
CN-2016-3284020,2016/6/20,贵州,办公用-标签-10000480,办公用品,153.3,3,0,64.26
CN-2018-4020885,2018/7/28,湖北,办公用-标签-10000480,办公用品,102.2,2,0,42.84
